Month,Country,Vessel Length,Species Group,Admin Port,Marker,Value
month/2019-07,K02000001,all,all,uk,,65751
month/2020-07,K02000001,all,all,uk,,68003
month/2019-07,K02000001,u10m,all,uk,,3841
month/2020-07,K02000001,u10m,all,uk,,2829
month/2019-07,K02000001,u10m,demersal,uk,,385
month/2020-07,K02000001,u10m,demersal,uk,,451
month/2019-07,K02000001,u10m,pelagic,uk,,332
month/2020-07,K02000001,u10m,pelagic,uk,,325
month/2019-07,K02000001,u10m,shellfish,uk,,3123
month/2020-07,K02000001,u10m,shellfish,uk,,2051
month/2019-07,K02000001,10-12m,all,uk,,1445
month/2020-07,K02000001,10-12m,all,uk,,1441
month/2019-07,K02000001,10-12m,demersal,uk,,110
month/2020-07,K02000001,10-12m,demersal,uk,,164
month/2019-07,K02000001,10-12m,pelagic,uk,,97
month/2020-07,K02000001,10-12m,pelagic,uk,,321
month/2019-07,K02000001,10-12m,shellfish,uk,,1237
month/2020-07,K02000001,10-12m,shellfish,uk,,956
month/2019-07,K02000001,o12m,all,uk,,60464
month/2020-07,K02000001,o12m,all,uk,,63732
month/2019-07,K02000001,o12m,demersal,uk,,11994
month/2020-07,K02000001,o12m,demersal,uk,,10847
month/2019-07,K02000001,o12m,pelagic,uk,,37955
month/2020-07,K02000001,o12m,pelagic,uk,,44106
month/2019-07,K02000001,o12m,shellfish,uk,,10514
month/2020-07,K02000001,o12m,shellfish,uk,,8778
month/2019-07,E92000001,all,all,uk,,17635
month/2020-07,E92000001,all,all,uk,,18316
month/2019-07,E92000001,u10m,all,uk,,1794
month/2020-07,E92000001,u10m,all,uk,,1713
month/2019-07,E92000001,u10m,demersal,uk,,330
month/2020-07,E92000001,u10m,demersal,uk,,406
month/2019-07,E92000001,u10m,pelagic,uk,,78
month/2020-07,E92000001,u10m,pelagic,uk,,100
month/2019-07,E92000001,u10m,shellfish,uk,,1384
month/2020-07,E92000001,u10m,shellfish,uk,,1206
month/2019-07,E92000001,10-12m,all,uk,,760
month/2020-07,E92000001,10-12m,all,uk,,1160
month/2019-07,E92000001,10-12m,demersal,uk,,101
month/2020-07,E92000001,10-12m,demersal,uk,,160
month/2019-07,E92000001,10-12m,pelagic,uk,,97
month/2020-07,E92000001,10-12m,pelagic,uk,,321
month/2019-07,E92000001,10-12m,shellfish,uk,,561
month/2020-07,E92000001,10-12m,shellfish,uk,,679
month/2019-07,E92000001,o12m,all,uk,,15080
month/2020-07,E92000001,o12m,all,uk,,15442
month/2019-07,E92000001,o12m,demersal,uk,,3845
month/2020-07,E92000001,o12m,demersal,uk,,3762
month/2019-07,E92000001,o12m,pelagic,uk,,5662
month/2020-07,E92000001,o12m,pelagic,uk,,7061
month/2019-07,E92000001,o12m,shellfish,uk,,5572
month/2020-07,E92000001,o12m,shellfish,uk,,4618
month/2019-07,N07000001,all,all,uk,,6651
month/2020-07,N07000001,all,all,uk,,9561
month/2019-07,N07000001,u10m,all,uk,,271
month/2020-07,N07000001,u10m,all,uk,,95
month/2019-07,N07000001,u10m,demersal,uk,,7
month/2020-07,N07000001,u10m,demersal,uk,,2
month/2019-07,N07000001,u10m,pelagic,uk,,0
month/2020-07,N07000001,u10m,pelagic,uk,,8
month/2019-07,N07000001,u10m,shellfish,uk,,264
month/2020-07,N07000001,u10m,shellfish,uk,,83
month/2019-07,N07000001,10-12m,all,uk,,176
month/2020-07,N07000001,10-12m,all,uk,,45
month/2019-07,N07000001,10-12m,demersal,uk,,1
month/2020-07,N07000001,10-12m,demersal,uk,,0
month/2019-07,N07000001,10-12m,pelagic,uk,,0
month/2020-07,N07000001,10-12m,pelagic,uk,,0
month/2019-07,N07000001,10-12m,shellfish,uk,,175
month/2020-07,N07000001,10-12m,shellfish,uk,,44
month/2019-07,N07000001,o12m,all,uk,,6203
month/2020-07,N07000001,o12m,all,uk,,9420
month/2019-07,N07000001,o12m,demersal,uk,,291
month/2020-07,N07000001,o12m,demersal,uk,,210
month/2019-07,N07000001,o12m,pelagic,uk,,5201
month/2020-07,N07000001,o12m,pelagic,uk,,8608
month/2019-07,N07000001,o12m,shellfish,uk,,710
month/2020-07,N07000001,o12m,shellfish,uk,,602
month/2019-07,S04000001,all,all,uk,,41184
month/2020-07,S04000001,all,all,uk,,39713
month/2019-07,S04000001,u10m,all,uk,,1664
month/2020-07,S04000001,u10m,all,uk,,887
month/2019-07,S04000001,u10m,demersal,uk,,33
month/2020-07,S04000001,u10m,demersal,uk,,21
month/2019-07,S04000001,u10m,pelagic,uk,,253
month/2020-07,S04000001,u10m,pelagic,uk,,216
month/2019-07,S04000001,u10m,shellfish,uk,,1377
month/2020-07,S04000001,u10m,shellfish,uk,,650
month/2019-07,S04000001,10-12m,all,uk,,428
month/2020-07,S04000001,10-12m,all,uk,,194
month/2019-07,S04000001,10-12m,demersal,uk,,3
month/2020-07,S04000001,10-12m,demersal,uk,,1
month/2019-07,S04000001,10-12m,pelagic,uk,,0
month/2020-07,S04000001,10-12m,pelagic,uk,,0
month/2019-07,S04000001,10-12m,shellfish,uk,,425
month/2020-07,S04000001,10-12m,shellfish,uk,,193
month/2019-07,S04000001,o12m,all,uk,,39091
month/2020-07,S04000001,o12m,all,uk,,38631
month/2019-07,S04000001,o12m,demersal,uk,,7833
month/2020-07,S04000001,o12m,demersal,uk,,6792
month/2019-07,S04000001,o12m,pelagic,uk,,27091
month/2020-07,S04000001,o12m,pelagic,uk,,28437
month/2019-07,S04000001,o12m,shellfish,uk,,4166
month/2020-07,S04000001,o12m,shellfish,uk,,3401
month/2019-07,W08000001,all,all,uk,,279
month/2020-07,W08000001,all,all,uk,,411
month/2019-07,W08000001,u10m,all,uk,,111
month/2020-07,W08000001,u10m,all,uk,,132
month/2019-07,W08000001,u10m,demersal,uk,,14
month/2020-07,W08000001,u10m,demersal,uk,,21
month/2019-07,W08000001,u10m,pelagic,uk,,0
month/2020-07,W08000001,u10m,pelagic,uk,,0
month/2019-07,W08000001,u10m,shellfish,uk,,97
month/2020-07,W08000001,u10m,shellfish,uk,,110
month/2019-07,W08000001,10-12m,all,uk,,79
month/2020-07,W08000001,10-12m,all,uk,,41
month/2019-07,W08000001,10-12m,demersal,uk,,4
month/2020-07,W08000001,10-12m,demersal,uk,,2
month/2019-07,W08000001,10-12m,pelagic,uk,,0
month/2020-07,W08000001,10-12m,pelagic,uk,,0
month/2019-07,W08000001,10-12m,shellfish,uk,,74
month/2020-07,W08000001,10-12m,shellfish,uk,,38
month/2019-07,W08000001,o12m,all,uk,,89
month/2020-07,W08000001,o12m,all,uk,,237
month/2019-07,W08000001,o12m,demersal,uk,,24
month/2020-07,W08000001,o12m,demersal,uk,,81
month/2019-07,W08000001,o12m,pelagic,uk,,0
month/2020-07,W08000001,o12m,pelagic,uk,,0
month/2019-07,W08000001,o12m,shellfish,uk,,64
month/2020-07,W08000001,o12m,shellfish,uk,,155
month/2019-07,E92000001,all,all,brixham,,2201
month/2020-07,E92000001,all,all,brixham,,2080
month/2019-07,E92000001,all,all,fleetwood,,203
month/2020-07,E92000001,all,all,fleetwood,,291
month/2019-07,E92000001,all,all,grimsby,,5456
month/2020-07,E92000001,all,all,grimsby,,5059
month/2019-07,E92000001,all,all,hastings,,1507
month/2020-07,E92000001,all,all,hastings,,1594
month/2019-07,E92000001,all,all,lowestoft,,1726
month/2020-07,E92000001,all,all,lowestoft,,1448
month/2019-07,E92000001,all,all,newlyn,,1739
month/2020-07,E92000001,all,all,newlyn,,2429
month/2019-07,E92000001,all,all,north-shields,,1318
month/2020-07,E92000001,all,all,north-shields,,1091
month/2019-07,E92000001,all,all,plymouth,,2141
month/2020-07,E92000001,all,all,plymouth,,2898
month/2019-07,E92000001,all,all,poole,,95
month/2020-07,E92000001,all,all,poole,,165
month/2019-07,E92000001,all,all,scarborough,,1002
month/2020-07,E92000001,all,all,scarborough,,920
month/2019-07,E92000001,all,all,unknown,,243
month/2020-07,E92000001,all,all,unknown,,336
month/2019-07,N07000001,all,all,belfast,,6644
month/2020-07,N07000001,all,all,belfast,,9561
month/2019-07,N07000001,all,all,unknown,,6
month/2020-07,N07000001,all,all,unknown,,0
month/2019-07,S04000001,all,all,aberdeen,,127
month/2020-07,S04000001,all,all,aberdeen,,50
month/2019-07,S04000001,all,all,anstruther,,183
month/2020-07,S04000001,all,all,anstruther,,84
month/2019-07,S04000001,all,all,ayr,,902
month/2020-07,S04000001,all,all,ayr,,1172
month/2019-07,S04000001,all,all,buckie,,681
month/2020-07,S04000001,all,all,buckie,,308
month/2019-07,S04000001,all,all,campbeltown,,507
month/2020-07,S04000001,all,all,campbeltown,,410
month/2019-07,S04000001,all,all,eyemouth,,190
month/2020-07,S04000001,all,all,eyemouth,,86
month/2019-07,S04000001,all,all,fraserburgh,,22774
month/2020-07,S04000001,all,all,fraserburgh,,20100
month/2019-07,S04000001,all,all,kinlochbervie,,160
month/2020-07,S04000001,all,all,kinlochbervie,,172
month/2019-07,S04000001,all,all,lochinver,,385
month/2020-07,S04000001,all,all,lochinver,,414
month/2019-07,S04000001,all,all,mallaig,,90
month/2020-07,S04000001,all,all,mallaig,,113
month/2019-07,S04000001,all,all,oban,,350
month/2020-07,S04000001,all,all,oban,,278
month/2019-07,S04000001,all,all,orkney,,1041
month/2020-07,S04000001,all,all,orkney,,609
month/2019-07,S04000001,all,all,peterhead,,2480
month/2020-07,S04000001,all,all,peterhead,,3651
month/2019-07,S04000001,all,all,portree,,97
month/2020-07,S04000001,all,all,portree,,40
month/2019-07,S04000001,all,all,shetland,,10021
month/2020-07,S04000001,all,all,shetland,,11448
month/2019-07,S04000001,all,all,stornoway,,421
month/2020-07,S04000001,all,all,stornoway,,246
month/2019-07,S04000001,all,all,ullapool,,342
month/2020-07,S04000001,all,all,ullapool,,274
month/2019-07,S04000001,all,all,wick,,416
month/2020-07,S04000001,all,all,wick,,252
month/2019-07,S04000001,all,all,unknown,,7
month/2020-07,S04000001,all,all,unknown,,0
month/2019-07,K02000001,12-15m,all,uk,,5796
month/2020-07,K02000001,12-15m,all,uk,,5554
month/2019-07,K02000001,15-24m,all,uk,,7447
month/2020-07,K02000001,15-24m,all,uk,,6806
month/2019-07,K02000001,o24m,all,uk,,47220
month/2020-07,K02000001,o24m,all,uk,,51371
month/2019-07,E92000001,12-15m,all,uk,,5088
month/2020-07,E92000001,12-15m,all,uk,,5139
month/2019-07,E92000001,15-24m,all,uk,,1677
month/2020-07,E92000001,15-24m,all,uk,,1599
month/2019-07,E92000001,o24m,all,uk,,8314
month/2020-07,E92000001,o24m,all,uk,,8703
month/2019-07,N07000001,12-15m,all,uk,,223
month/2020-07,N07000001,12-15m,all,uk,,123
month/2019-07,N07000001,15-24m,all,uk,,698
month/2020-07,N07000001,15-24m,all,uk,,645
month/2019-07,N07000001,o24m,all,uk,,5280
month/2020-07,N07000001,o24m,all,uk,,8652
month/2019-07,S04000001,12-15m,all,uk,,449
month/2020-07,S04000001,12-15m,all,uk,,286
month/2019-07,S04000001,15-24m,all,uk,,5032
month/2020-07,S04000001,15-24m,all,uk,,4504
month/2019-07,S04000001,o24m,all,uk,,33609
month/2020-07,S04000001,o24m,all,uk,,33840
month/2019-07,W08000001,12-15m,all,uk,,35
month/2020-07,W08000001,12-15m,all,uk,,4
month/2019-07,W08000001,15-24m,all,uk,,38
month/2020-07,W08000001,15-24m,all,uk,,57
month/2019-07,W08000001,o24m,all,uk,,14
month/2020-07,W08000001,o24m,all,uk,,175
